no;fecha;total peso taller;total peso factura;total peso oro puro fact;base oro gold;base orotec;base medellin;base venta;diferencia entre bases;total venta;total pagado en factura;compra medellin;utilidad sociedad total;utilidad taller;utilidad ala;observaciones
1;5/15/2025;144,6;144,59;127,2;438000;410000;407340;425000;17660;54060000;54005600;51833200,32;2226799,68;1336079,808;890719,872;
2;5/19/2025;155,82;155,85;136,12;433000;400000;402690;415000;12310;56489800;56481500;54814162,8;1675637,2;1005382,32;670254,88;Ellos pagaron 6.600 menos
3;5/24/2025;99,9;;89,59;447000;412000;415710;420000;4290;37627800;37627800;28150093,65;9477706,353;5686623,812;3791082,541;
4;5/26/2025;163,53;163,5;144,78;446000;412000;414780;425000;10220;61531500;61531500;60051848,4;1479651,6;887790,96;591860,64;
5;5/29/2025;134,44;134,44;119,63;438000;405945;407340;416000;8660;49766080;49766080;48730084,2;1035995,8;621597,48;414398,32;
6;6/3/2025;176,03;176;156,96;446000;410000;414780;425000;10220;66708000;66708000;65103868,8;1604131,2;962478,72;641652,48;
7;6/5/2025;209,97;209,97;188,35;444000;410000;412920;420000;7080;79107000;79107000;77773482;1333518;800110,8;533407,2;
8;6/9/2025;188,05;188,05;168,06;442000;408000;411060;418000;6940;70249080;70249080;69082743,6;1166336,4;699801,84;466534,56;
9;6/12/2025;127,71;127,68;104,96;455000;414000;423150;425000;1850;44608000;44608000;44413824;194176;116505,6;77670,4;
10;6/16/2025;82,18;82,16;69,86;447000;420000;415710;430000;14290;30039800;30039800;29041500,6;998299,4;598979,64;399319,76;
11;6/19/2025;108,35;108,33;97,9;441000;420000;410130;423000;12870;41411700;41411700;40151727;1259973;755983,8;503989,2;
12;6/24/2025;238,58;238,6;211,09;435000;405000;404550;418000;13450;88235620;88235620;85396459,5;2839160,5;1703496,3;1135664,2;
13;7/1/2025;318,43;318,43;283,52;435000;405000;404550;419000;14450;118794880;118794880;114698016;4096864;2458118,4;1638745,6;
14;7/3/2025;170,98;170,98;118,21;426000;396000;396180;412000;15820;48702520;48702520;46832437,8;1870082,2;1122049,32;748032,88;
15;7/7/2025;293,06;293,01;243,61;428000;396000;398040;412000;412000;100367320;100367320;96966524,4;3400795,6;2040477,36;1360318,24;
16;7/11/2025;133,03;132,95;117,37;413000;398000;384090;413000;28910;48473810;48473810;45080643,3;3393166,7;2035900,02;1357266,68;
17;7/14/2025;159,7;159,6;141,62;433000;398000;402690;414000;11310;58630680;58630680;57028957,8;1601722,2;961033,32;640688,88;
18;7/16/2025;61,7;61,7;55,81;432000;398000;401760;414000;12240;23105340;23105340;22422225,6;683114,4;409868,64;273245,76;
19;7/21/2025;428,21;428,21;364,95;440000;406000;409200;419000;9800;152914050;152914050;149337540;3576510;2145906;1430604;
20;7/24/2025;154,89;154,89;135,29;440000;409000;409200;422000;12800;57092380;57092380;55360668;1731712;1039027,2;692684,8;
21;7/28/2025;292,19;292,19;229,78;446000;412000;414780;426000;11220;97886280;97886280;93234248,4;4652031,6;2791218,96;1860812,64;
22;7/31/2025;181,13;181,13;155,75;441000;410000;410130;423000;12870;65882250;65882250;63877747,5;2004502,5;1202701,5;801801;
23;8/4/2025;276,41;276,41;240,76;446000;410000;414780;424000;9220;102082240;102082240;99862432,8;2219807,2;1331884,32;887922,88;
24;8/6/2025;276,51;276,49;214,53;442000;407000;411060;424000;12940;90960720;90960720;88184701,8;2776018,2;1665610,92;1110407,28;
25;8/12/2025;52,02;52,02;45,72;432000;407000;401760;420000;18240;19202400;19202400;18368467,2;833932,8;500359,68;333573,12;
26;8/15/2025;159;156;136,95;432000;407000;401760;415000;13240;56834250;56834250;55021032;1813218;1087930,8;725287,2;
27;8/19/2025;262,25;262,25;204,67;430000;407000;399900;415000;15100;84938050;84938050;81847533;3090517;1854310,2;1236206,8;
28;8/21/2025;86,51;86,51;76,14;433000;407000;402690;414000;11310;31521960;31521960;30660816,6;861143,4;516686,04;344457,36;
29;8/25/2025;266,84;261,34;232,48;436000;398000;405480;418000;12520;97176640;97176640;94265990,4;2910649,6;1746389,76;1164259,84;
30;8/27/2025;179,73;179,73;141,98;441000;398000;410130;422000;11870;59915560;59915560;58230257,4;1685302,6;1011181,56;674121,04;
31;9/1/2025;246,73;245,73;216,6;448000;398000;416640;427000;10360;92488200;92488200;90244224;2243976;1346385,6;897590,4;
32;9/4/2025;159,33;158,26;124,15;456000;423000;424080;437000;12920;54253550;54253550;52649532;1604018;962410,8;641607,2;
33;9/8/2025;102,7;102,6;88,51;462000;423000;429660;437000;7340;38678870;38678870;38029206,6;649663,4;389798,04;259865,36;
34;9/11/2025;224,62;214,62;192,3;458000;423000;425940;437000;11060;84035100;84035100;81908262;2126838;1276102,8;850735,2;
35;9/15/2025;226,27;226,27;187,75;455000;;423150;440000;13850;82610000;82610000;79446412,5;3163587,5;1898152,5;1265435;
36;9/18/2025;137,67;137,67;116,3;455000;;423150;437000;13850;50823100;50823100;49212345;1610755;966453;644302;
37;9/22/2025;160,44;160,44;127,6;461000;;428730;440000;11270;56144000;56144000;54705948;1438052;862831,2;575220,8;
38;9/25/2025;67,91;67,91;59,88;467000;423000;434310;448000;13690;26826240;26826240;26006482,8;819757,2;491854,32;327902,88;
39;9/29/2025;266,98;261,98;211,95;478000;;444540;460000;15460;97497000;97497000;94220253;3276747;1966048,2;1310698,8;
40;10/2/2025;157,46;157,46;117,67;485000;;451050;460000;8950;54128200;54128200;53075053,5;1053146,5;631887,9;421258,6;
41;10/6/2025;156,67;151,68;134,86;489000;;454770;465000;10230;62709900;62709900;61330282,2;1379617,8;827770,68;551847,12;
42;10/9/2025;158,47;158,47;126,54;503000;;467790;480000;12210;60739200;60739200;59194146,6;1545053,4;927032,04;618021,36;
43;10/14/2025;49,28;49,3;44,27;522000;;485460;480000;-5460;21249600;21249600;21491314,2;-241714,2;-145028,52;-96685,68;
44;10/17/2025;300,8;300,82;233,43;526000;;489180;505000;15820;117882150;117882150;114189287,4;3692862,6;2215717,56;1477145,04;
45;10/20/2025;235,38;235,38;208,26;542000;;504060;510000;5940;106212600;106212600;104975535,6;1237064,4;742238,64;494825,76;
46;10/23/2025;136,38;136,38;106,3;522000;433000;485460;496000;10540;52724800;52724800;51604398;1120402;672241,2;448160,8;
47;10/25/2025;102,5;102,5;90,61;511000;;475230;482000;6770;43674020;43674020;43060590,3;613429,7;368057,82;245371,88;Falta factura Yarden
48;10/28/2025;323,87;323,87;262,58;492000;;457560;482000;24440;126563560;126616580;120146104,8;6417455,2;3850473,12;2566982,08;Falta factura Yarden
49;10/30/2025;60,69;60,69;54,26;498000;;463140;470000;6860;25502200;25502200;25129976,4;372223,6;223334,16;148889,44;Falta factura Yarden
50;11/4/2025;256,74;256,74;225,41;491000;;456630;472000;15370;106393520;106393520;102928968,3;3464551,7;2078731,02;1385820,68;
51;11/7/2025;175,39;175,4;154,88;485000;;451050;462000;10950;71554560;71554560;69858624;1695936;1017561,6;678374,4;
52;11/10/2025;116,32;116,34;104,12;495000;;460350;470000;9650;48936400;48936400;47931642;1004758;602854,8;401903,2;
53;11/15/2025;360,52;360,54;319,43;492000;;457560;472000;14440;150770960;150770960;146158390,8;4612569,2;2767541,52;1845027,68;
54;11/20/2025;181,66;181,67;163,75;493000;;458490;470000;11510;76962500;76962500;75077737,5;1884762,5;1130857,5;753905;
55;11/27/2025;254,17;254,17;132,12;504000;;468720;478000;9280;63153360;66346400;61927286,4;1226073,6;735644,16;490429,44;En la factura pagan 138,8 gramos, pero son 132,2 
56;12/1/2025;170,29;170,29;151,75;512000;;471040;480000;8960;72840000;72840000;71480320;1359680;815808;543872;En diciembre bajó el porcentaje que pagan en medellín, pagaron sobre el 92%
57;12/4/2025;173,1;173,1;153,446;496000;;456320;480000;23680;73654080;73646400;70020478,72;3633601,28;2180160,768;1453440,512;No está la factura de Yarden. Datos sacados del excel
58;12/9/2025;170,18;170,18;155,64;520000;;478400;480000;1600;74707200;74707200;74458176;249024;149414,4;99609,6;
59;12/18/2025;89,06;89,06;77,4199;533000;;490360;465000;-25360;36000253,5;36000253,5;37963622,16;-1963368,664;-1178021,198;-785347,4656;No tenemos la factura ni el excel
